,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47
65,13,6,5,5,12,3,8,15,4,4,10,6,10,4,4,4,8,1,12,4,4,4,7,1,13,11,5,11,12,1,8,7,1,8,7,1,12,7,1,10,9,11,7,8,1,10,5,12
66,1,10,5,6,9,6,6,12,2,2,2,2,0,7,2,2,2,2,0,7,2,2,2,2,0,8,2,2,2,2,0,8,2,2,2,2,0,8,2,2,2,2,11,13,11,11,5,11
67,15,10,5,9,5,5,4,10,5,5,5,5,4,7,0,0,0,0,4,8,0,0,0,0,4,7,0,0,0,0,4,8,0,0,0,0,4,7,0,0,0,0,11,12,0,0,0,0
68,12,14,8,0,0,0,8,4,8,0,0,0,13,4,8,0,0,0,10,11,13,6,11,11,7,10,12,1,7,7,10,13,12,1,10,13,10,12,10,11,13,12,10,12,7,8,10,12
69,13,5,9,5,13,12,12,3,3,3,8,8,7,3,3,3,10,12,8,3,3,3,10,9,10,11,6,11,13,6,7,7,3,7,10,6,10,12,3,10,12,3,7,7,3,7,7,3
70,15,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,6,6,5,11,5,11
71,15,10,11,11,11,11,4,8,7,7,7,7,4,7,7,7,7,7,4,7,10,12,7,7,4,8,7,7,7,7,4,8,10,13,9,9,11,12,7,7,2,2,13,13,12,7,2,2
72,15,7,4,4,8,3,4,10,11,6,13,6,6,12,8,3,8,3,3,7,10,5,13,5,6,9,12,4,7,2,11,11,12,4,8,2,9,9,13,6,12,2,0,0,8,2,7,2
73,1,1,7,1,1,10,1,1,8,1,1,10,11,11,12,1,1,10,8,8,7,1,1,7,12,10,13,5,11,12,12,7,7,15,7,7,7,7,8,4,8,10,7,10,13,11,12,7
74,12,10,13,6,6,6,7,7,10,6,5,6,12,8,10,6,11,5,10,9,12,1,7,15,12,0,7,1,10,4,7,0,7,1,7,4,12,0,7,1,7,4,12,0,10,11,12,4
75,15,8,2,2,8,8,4,8,2,2,10,9,6,12,2,2,8,1,0,7,2,2,8,1,5,9,11,6,13,11,1,1,8,4,7,10,11,11,12,4,10,9,9,12,10,11,13,5
76,15,7,2,2,2,2,4,7,2,2,2,2,4,8,2,2,2,2,4,7,2,2,2,2,4,8,2,2,2,2,4,8,2,2,2,2,4,10,11,11,11,5,4,10,12,8,8,2
77,11,6,13,6,13,6,8,1,7,15,8,1,8,1,7,4,7,1,9,11,12,4,7,1,6,9,12,4,8,1,0,0,8,4,8,1,0,0,7,4,8,1,5,6,12,4,7,1
78,0,0,10,6,6,6,11,5,12,15,4,4,8,3,7,4,4,4,10,11,12,4,4,4,7,10,12,4,4,4,7,7,8,4,4,4,9,12,7,4,4,4,3,8,8,4,4,4
79,1,1,1,1,1,8,1,1,1,1,1,7,11,11,11,11,5,12,7,8,10,12,15,7,9,13,9,12,4,7,11,12,4,8,4,7,10,12,4,7,4,7,7,7,4,7,4,8
80,15,8,4,10,5,6,4,8,4,10,11,11,11,9,11,9,13,12,8,1,8,2,8,10,10,5,13,6,12,10,10,5,12,4,8,8,9,5,12,4,10,12,1,1,8,4,10,13
81,1,1,1,1,1,8,1,1,1,1,1,10,6,11,11,6,6,12,15,7,10,6,5,12,4,8,8,2,2,8,4,8,8,2,2,10,4,8,7,2,2,7,4,7,8,2,2,8
82,15,8,1,1,8,3,4,10,6,5,12,3,4,8,1,1,7,3,4,8,1,1,7,3,5,9,11,6,9,6,1,1,8,1,1,1,11,5,13,11,11,11,7,2,8,10,13,13
83,15,4,4,4,7,0,4,4,4,4,8,0,4,4,4,4,8,0,4,4,4,4,8,0,4,4,4,4,8,0,4,4,4,4,10,6,4,4,4,4,8,3,5,11,11,6,12,3
84,3,3,3,8,7,0,3,3,3,7,8,0,5,5,11,13,12,0,15,4,10,13,12,0,4,4,7,10,12,0,4,4,8,7,10,11,4,4,8,8,7,10,4,4,8,7,8,7
85,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,6,6,11,11,5,11,3,3,8,7,2,8
86,15,8,8,1,1,1,4,8,8,1,1,1,4,8,8,1,1,1,4,8,7,1,1,1,4,8,7,1,1,1,11,12,10,5,11,11,10,9,9,11,12,8,13,11,6,13,9,12
87,15,8,1,1,8,1,4,8,1,1,8,1,4,7,1,1,10,11,4,8,1,1,8,7,11,13,6,6,9,12,8,8,2,2,2,8,7,8,2,2,2,8,7,10,6,11,11,12
88,15,10,12,1,1,1,4,8,8,1,1,1,6,12,8,1,1,1,6,9,12,1,1,1,1,1,8,1,1,1,1,1,7,1,1,1,5,11,12,1,1,1,2,10,12,1,1,1
89,1,1,1,7,3,8,1,1,1,7,3,10,5,11,11,12,3,10,15,10,12,8,3,8,4,8,10,12,3,8,4,8,7,8,3,7,4,10,12,8,3,8,5,12,10,13,6,12
90,15,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
91,15,10,6,6,11,6,4,7,1,1,7,1,4,8,1,1,7,1,11,13,6,11,9,11,9,12,4,7,3,7,1,8,4,7,3,8,11,13,11,12,3,8,7,10,13,12,3,8
92,15,4,4,4,8,8,4,4,4,4,8,8,4,4,4,4,7,7,4,4,4,4,8,8,6,11,6,11,12,7,3,7,0,8,10,12,3,10,6,13,12,7,3,10,6,12,7,7
93,15,4,4,4,4,4,4,4,4,4,4,4,6,5,6,6,6,6,5,11,6,6,6,6,3,7,3,3,3,3,11,12,3,3,3,3,7,7,3,3,3,3,10,13,11,11,11,11
94,15,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,11,5,11,5,5,6
95,14,4,4,4,8,4,4,4,4,4,8,4,4,4,4,4,7,4,4,4,4,4,7,4,4,4,4,4,7,4,4,4,4,4,7,4,4,4,4,4,7,4,4,4,4,4,7,4
96,13,12,1,1,1,1,12,8,1,1,1,1,12,8,1,1,1,1,12,7,1,1,1,1,12,7,1,1,1,1,12,7,1,1,1,1,12,7,1,1,1,1,12,7,1,1,1,1
97,15,4,10,5,5,5,4,4,8,3,3,3,5,5,12,3,3,3,6,6,9,11,11,11,3,3,3,7,7,7,3,3,3,7,7,7,3,3,3,8,8,10,3,3,3,8,7,7
98,15,4,7,2,2,2,4,4,8,2,2,2,4,4,7,2,2,2,4,4,7,2,2,2,4,4,10,11,11,11,4,4,7,8,7,7,6,11,12,10,12,7,5,12,7,10,12,7
99,5,12,7,2,2,2,1,10,13,5,5,6,1,8,8,4,4,4,1,7,8,4,15,4,5,9,9,11,4,4,2,2,2,7,4,4,2,2,2,7,4,4,2,2,2,10,6,11
